Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,T_F,Tag_ID,A_elegantissima,Phragmatopoma_californica,Chtalmus/Balanus,Bare_rock,Ralfsia_sp,Coralline_crust,Endocaldia_sp,P_polymerus,Ulva_sp
09_2023,CNM_1,CNM_1_E_1,L,1,Y,TRUE,0,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_1,R,1,N,FALSE,0,0,0,0.076992308,0.92307692,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_2,R,2,Y,TRUE,D002,0,0,0.5,0.5,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_2,L,2,N,FALSE,0,0,0,0.09090909,0.90909091,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,0.09090909,0.90909091,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_4,R,4,Y,TRUE,D003,0,0,0.33333333,0.66666667,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,0.25,0.75,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_5,L,5,Y,TRUE,0,0,0,0.1,0.9,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_5,R,5,N,FALSE,0,0,0,0.08333333,0.91666667,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_6,R,6,Y,TRUE,D003,0,0,0.25,0.75,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_6,L,6,N,FALSE,0,0,0,0.2,0.7,0.1,0,0,0,0
09_2023,CNM_1,CNM_1_E_7,L,8,Y,TRUE,D035,0,0,0,1,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_7,R,8,N,FALSE,0,0,0,0.9,0.1,0,0,0,0,0
09_2023,CNM_1,CNM_1_E_8,L,10,Y,TRUE,D005,0,0,0.5,0.5,0,0,0,0,0
09_2023,CNM_1,CNM_1_C_8,R,10,N,FALSE,0,0,0,0.08333333,0.91666667,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_1,R,2,Y,TRUE,D023,0,0,0,0,0.81818182,0,0,0.18181818,0
09_2023,CNM_2,CNM_2_C_1,L,2,N,FALSE,0,0,0,0.28571429,0.71428571,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_2,R,4,Y,TRUE,D024,0,0,0,0.73333333,0.26666667,0,0,0,0
09_2023,CNM_2,CNM_2_C_2,L,4,N,FALSE,0,0,0,0.3,0.7,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_3,R,5,Y,TRUE,0,0,0,0.2,0.8,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_3,L,5,N,FALSE,0,0,0,0.75,0.25,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_4,L,6,Y,TRUE,D027,0,0,0.166666667,0.5,0.33333333,0,0,0,0
09_2023,CNM_2,CNM_2_C_4,R,6,N,FALSE,0,0,0,0,0.72727273,0.27272727,0,0,0,0
09_2023,CNM_2,CNM_2_E_5,R,8,Y,TRUE,D025,0,0,0.90909091,0.09090909,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_5,L,8,N,FALSE,0,0,0,0,0.72727273,0.27272727,0,0,0,0
09_2023,CNM_2,CNM_2_E_6,R,9,Y,TRUE,0,0,0,0.15384615,0.84615385,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_6,L,9,N,FALSE,0,0,0,0,1,0,0,0,0,0
09_2023,CNM_2,CNM_2_E_7,R,10,Y,TRUE,D026,0,0,0.25,0.75,0,0,0,0,0
09_2023,CNM_2,CNM_2_C_7,L,10,N,FALSE,0,0,0,0.25,0.75,0,0,0,0,0
09_2023,CNM_3,CNM_2_E_1,R,0,Y,TRUE,D062,0,0,1,0,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_1,L,0,N,FALSE,0,0,0,0,1,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_2,R,1,Y,TRUE,D086,0,0,0.09090909,0.90909091,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_2,L,1,N,FALSE,0,0,0,0.08333333,0.91666667,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_3,R,2,Y,TRUE,0,0,0,0.08333333,0.91666667,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_3,L,2,N,FALSE,0,0,0,0.45454545,0.54545455,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_4,L,3,Y,TRUE,D061,0,0,0.45454545,0.54545455,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_4,R,3,N,FALSE,0,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_5,L,5,Y,TRUE,D059,0,0,0.14285714,0.85714286,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_5,R,5,N,FALSE,0,0,0,0.1384615,0.78571429,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_6,L,6,Y,TRUE,D044,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_3,CNM_3_C_6,R,6,N,FALSE,0,0,0,0,1,0,0,0,0,0
09_2023,CNM_3,CNM_3_E_7,L,9,Y,TRUE,D045,0,0,0.4,0.6,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_1,R,0,Y,TRUE,0,0,0,0.5,0.33333333,0.166666667,0,0,0,0
09_2023,CNM_4,CNM_4_C_1,L,0,N,FALSE,0,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,0,1,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,0.33333333,0.66666667,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,0,0.90909091,0.09090909,0,0,0,0
09_2023,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,0.27272727,0.72727273,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_4,R,5,Y,TRUE,D073,0,0,0.2,0.8,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_4,L,5,N,FALSE,0,0,0,0.92307692,0.07692308,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_5,L,6,Y,TRUE,D088,0,0,0.166666667,0.83333333,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_5,R,6,N,FALSE,0,0,0,0.6,0.4,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_6,L,7,Y,TRUE,D068,0,0,0,1,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_6,R,7,N,FALSE,0,0,0,0.36363636,0.63636364,0,0,0,0,0
09_2023,CNM_4,CNM_4_E_7,R,10,Y,TRUE,D109,0,0,0.38461538,0.61538462,0,0,0,0,0
09_2023,CNM_4,CNM_4_C_7,L,10,N,FALSE,0,0,0,0.09090909,0.90909091,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_1,R,0,Y,TRUE,D133,0,0,0,0.71428571,0.28571429,0,0,0,0
09_2023,CNM_5,CNM_5_C_1,L,0,N,FALSE,0,0,0,0.09090909,0.90909091,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_2,L,2,Y,TRUE,0,0,0,0.4,0.4,0.2,0,0,0,0
09_2023,CNM_5,CNM_5_C_2,R,2,N,FALSE,0,0,0,0.27272727,0.72727273,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_3,R,6,Y,TRUE,0,0,0,0.5,0.5,0,0,0,0,0
09_2023,CNM_5,CNM_5_C_3,L,6,N,FALSE,0,0,0,0.72727273,0.27272727,0,0,0,0,0
09_2023,CNM_5,CNM_5_E_4,R,8,Y,TRUE,0,0,0,0.54545455,0.27272727,0,0,0,0,0.18181818
09_2023,CNM_5,CNM_5_C_4,L,8,N,FALSE,0,0,0,0.08333333,0.91666667,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_1,L,5,Y,TRUE,D141,0,0,0,0.81818182,0.18181818,0,0,0,0
09_2023,CNM_6,CNM_6_C_1,R,5,N,FALSE,0,0,0,0.83333333,0.166666667,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_2,L,8,Y,TRUE,D147,0,0,0,0.66666667,0.33333333,0,0,0,0
09_2023,CNM_6,CNM_6_C_2,R,8,N,FALSE,0,0,0,0.81818182,0.18181818,0,0,0,0,0
09_2023,CNM_6,CNM_6_E_3,L,9,Y,TRUE,D154,0,0,0.81818182,0.18181818,0,0,0,0,0
09_2023,CNM_6,CNM_6_C_3,R,9,N,FALSE,0,0.166666667,0,0,0.83333333,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_1,R,0,Y,TRUE,0,0,0,0.1875,0.8125,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_1,L,0,N,FALSE,0,0,0,0.5,0.5,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_2,L,1,Y,TRUE,D019,0,0,0.3125,0.6875,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_2,R,1,N,FALSE,0,0,0,0.0625,0.9375,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,0.6875,0.4375,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,0.625,0.375,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_4,R,4,Y,TRUE,0,0,0,0.4375,0.5625,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,0.5,0.5,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_5,L,8,Y,TRUE,0,0,0,0.125,0.875,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_5,R,8,N,FALSE,0,0,0,0.125,0.875,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_6,R,9,Y,TRUE,0,0,0,0.625,0.375,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_6,L,9,N,FALSE,0,0,0,1,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_7,R,10,Y,TRUE,0,0,0,0,1,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_7,L,10,N,FALSE,0,0,0,0.25,0.75,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_1,L,0,Y,TRUE,0,0,0,0.625,0.375,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_1,R,0,N,FALSE,0,0,0,0,1,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_2,L,1,Y,TRUE,0,0,0,0.25,0.75,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_2,R,1,N,FALSE,0,0,0,0.8125,0.1875,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_3,R,4,Y,TRUE,0,0,0,0.25,0.75,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_3,L,4,N,FALSE,0,0,0,0.4375,0.5625,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_4,L,5,Y,TRUE,0,0,0,0.125,0.875,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_4,R,5,N,FALSE,0,0,0,0.625,0.375,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_5,R,6,Y,TRUE,0,0,0,0,0.5625,0.4375,0,0,0,0
2024_02,CNM_2,CNM_2_C_5,L,6,N,FALSE,0,0,0,0.0625,0.9375,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_6,R,8,Y,TRUE,0,0,0,7,8,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_6,L,8,N,FALSE,0,0,0,9,0,7,0,0,0,0
2024_02,CNM_2,CNM_2_E_7,L,10,Y,TRUE,D025,0,0,1,15,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_7,R,10,N,FALSE,0,2,0,4,10,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_1,R,0,Y,TRUE,D062,0,0,5,11,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_1,L,0,N,FALSE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_2,L,2,Y,TRUE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_2,R,2,N,FALSE,0,0,0,1,11,4,0,0,0,0
2024_02,CNM_3,CNM_3_E_3,R,4,Y,TRUE,0,1,0,1,14,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_3,L,4,N,FALSE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_4,R,5,Y,TRUE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_4,L,5,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_5,R,6,Y,TRUE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_5,L,6,N,FALSE,0,0,0,9,7,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_6,R,7,Y,TRUE,D047,0,0,6,10,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_6,L,7,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_3,CNM_3_E_7,L,9,Y,TRUE,0,0,0,9,7,0,0,0,0,0
2024_02,CNM_3,CNM_3_C_7,R,9,N,FALSE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_1,R,1,Y,TRUE,D093,0,0,1,15,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_1,L,1,N,FALSE,0,0,0,7,9,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_2,R,2,Y,TRUE,0,0,0,6,10,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_2,L,2,N,FALSE,0,0,0,0,8,8,0,0,0,0
2024_02,CNM_4,CNM_4_E_3,R,4,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_3,L,4,N,FALSE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_4,L,6,Y,TRUE,0,0,0,14,2,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_4,R,6,N,FALSE,0,0,0,4,12,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_5,L,7,Y,TRUE,D111,0,0,10,6,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_5,R,7,N,FALSE,0,0,0,8,8,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_6,R,8,Y,TRUE,0,0,0,6,10,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_6,L,8,N,FALSE,0,0,0,3,13,0,0,0,0,0
2024_02,CNM_4,CNM_4_E_7,L,10,Y,TRUE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_4,CNM_4_C_7,R,10,N,FALSE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_1,R,1,Y,TRUE,0,0,0,5,11,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_1,L,1,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_2,R,2,Y,TRUE,0,0,0,0,14,2,0,0,0,0
2024_02,CNM_5,CNM_5_C_2,L,2,N,FALSE,0,0,0,15,2,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_3,R,4,Y,TRUE,0,0,0,3,11,2,0,0,0,0
2024_02,CNM_5,CNM_5_C_3,L,4,Y,FALSE,0,0,0,2,14,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_4,L,5,Y,TRUE,0,0,0,13,3,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_4,R,5,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_5,L,6,Y,TRUE,D132,0,0,13,3,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_5,R,6,N,FALSE,0,0,0,0,16,0,0,0,0,0
2024_02,CNM_5,CNM_5_E_6,R,8,Y,TRUE,0,0,0,11,5,0,0,0,0,0
2024_02,CNM_5,CNM_5_C_6,L,8,N,FALSE,0,0,0,0,15,1,0,0,0,0
2024_02,CNM_5,CNM_5_E_7,R,10,Y,TRUE,0,0,0,0,16,0,0,0,0,0
